Observation_ID,Risk_Score,Actual_Class_Audit,Risk_Category,Recommended_Action,Priority_Level,Review_Status,Risk_Rank
UCI_TEST_01688,0.6565744141821853,pos,Critical,Immediate technical review / inspection,P1,Human review required,183
UCI_TEST_05106,0.6565203531098271,neg,Critical,Immediate technical review / inspection,P1,Human review required,184
UCI_TEST_11817,0.6488086407541067,pos,Critical,Immediate technical review / inspection,P1,Human review required,185
UCI_TEST_14561,0.6488086407541067,pos,Critical,Immediate technical review / inspection,P1,Human review required,186
UCI_TEST_02722,0.6462157912214851,pos,Critical,Immediate technical review / inspection,P1,Human review required,187
UCI_TEST_08086,0.6442465718396838,pos,Critical,Immediate technical review / inspection,P1,Human review required,188
UCI_TEST_01974,0.6384413945729499,pos,Critical,Immediate technical review / inspection,P1,Human review required,189
UCI_TEST_04109,0.6380909545892391,pos,Critical,Immediate technical review / inspection,P1,Human review required,190
UCI_TEST_03401,0.6373413402752282,pos,Critical,Immediate technical review / inspection,P1,Human review required,191
UCI_TEST_15995,0.6371195543863104,pos,Critical,Immediate technical review / inspection,P1,Human review required,192
UCI_TEST_12574,0.63068982096687,pos,Critical,Immediate technical review / inspection,P1,Human review required,193
UCI_TEST_11996,0.6301810211438746,pos,Critical,Immediate technical review / inspection,P1,Human review required,194
UCI_TEST_06000,0.6251161916796087,pos,Critical,Immediate technical review / inspection,P1,Human review required,195
UCI_TEST_04318,0.6241939349685803,neg,Critical,Immediate technical review / inspection,P1,Human review required,196
UCI_TEST_04467,0.6235277750283209,neg,Critical,Immediate technical review / inspection,P1,Human review required,197
UCI_TEST_15956,0.6235002901123184,pos,Critical,Immediate technical review / inspection,P1,Human review required,198
UCI_TEST_01518,0.6221676871216129,pos,Critical,Immediate technical review / inspection,P1,Human review required,199
UCI_TEST_04475,0.6178878744087851,pos,Critical,Immediate technical review / inspection,P1,Human review required,200
UCI_TEST_08040,0.6174821311905132,pos,Critical,Immediate technical review / inspection,P1,Human review required,201
UCI_TEST_05935,0.6174765754491857,pos,Critical,Immediate technical review / inspection,P1,Human review required,202
UCI_TEST_03249,0.6174379635920539,pos,Critical,Immediate technical review / inspection,P1,Human review required,203
UCI_TEST_05556,0.6173459098533776,pos,Critical,Immediate technical review / inspection,P1,Human review required,204
UCI_TEST_12311,0.6162138672147421,pos,Critical,Immediate technical review / inspection,P1,Human review required,205
UCI_TEST_11990,0.6156732710825267,pos,Critical,Immediate technical review / inspection,P1,Human review required,206
UCI_TEST_12232,0.6121715195254144,pos,Critical,Immediate technical review / inspection,P1,Human review required,207
UCI_TEST_14315,0.6106792431867109,pos,Critical,Immediate technical review / inspection,P1,Human review required,208
UCI_TEST_00929,0.6092702175721613,pos,Critical,Immediate technical review / inspection,P1,Human review required,209
UCI_TEST_10841,0.6053173738004859,pos,Critical,Immediate technical review / inspection,P1,Human review required,210
UCI_TEST_04867,0.6041221318191037,neg,Critical,Immediate technical review / inspection,P1,Human review required,211
UCI_TEST_00787,0.5958990610278485,pos,Critical,Immediate technical review / inspection,P1,Human review required,212
UCI_TEST_08520,0.5913991392123565,pos,Critical,Immediate technical review / inspection,P1,Human review required,213
UCI_TEST_03310,0.5908830836198573,pos,Critical,Immediate technical review / inspection,P1,Human review required,214
UCI_TEST_01258,0.5907411497933475,pos,Critical,Immediate technical review / inspection,P1,Human review required,215
UCI_TEST_04814,0.5907411497933475,pos,Critical,Immediate technical review / inspection,P1,Human review required,216
UCI_TEST_02588,0.5903365351326826,pos,Critical,Immediate technical review / inspection,P1,Human review required,217
UCI_TEST_04114,0.5850595490423965,pos,Critical,Immediate technical review / inspection,P1,Human review required,218
UCI_TEST_00487,0.5846467363931886,pos,Critical,Immediate technical review / inspection,P1,Human review required,219
UCI_TEST_15737,0.5845740416771159,pos,Critical,Immediate technical review / inspection,P1,Human review required,220
UCI_TEST_05085,0.5842015144306517,neg,Critical,Immediate technical review / inspection,P1,Human review required,221
UCI_TEST_01889,0.5827156784104182,pos,Critical,Immediate technical review / inspection,P1,Human review required,222
UCI_TEST_11968,0.582575170012843,neg,Critical,Immediate technical review / inspection,P1,Human review required,223
UCI_TEST_02844,0.5818183415462312,pos,Critical,Immediate technical review / inspection,P1,Human review required,224
UCI_TEST_11953,0.5768622512973074,pos,Critical,Immediate technical review / inspection,P1,Human review required,225
UCI_TEST_14406,0.576750748451193,neg,Critical,Immediate technical review / inspection,P1,Human review required,226
UCI_TEST_02342,0.5763671704289713,pos,Critical,Immediate technical review / inspection,P1,Human review required,227
UCI_TEST_06287,0.5721177446189478,pos,Critical,Immediate technical review / inspection,P1,Human review required,228
UCI_TEST_04385,0.5711150581696958,pos,Critical,Immediate technical review / inspection,P1,Human review required,229
UCI_TEST_13661,0.5699791157105459,pos,Critical,Immediate technical review / inspection,P1,Human review required,230
UCI_TEST_05716,0.5647530675510398,pos,Critical,Immediate technical review / inspection,P1,Human review required,231
UCI_TEST_12264,0.5584723285837964,pos,Critical,Immediate technical review / inspection,P1,Human review required,232
UCI_TEST_04934,0.5570470974206168,pos,Critical,Immediate technical review / inspection,P1,Human review required,233
UCI_TEST_13012,0.5561347387468478,pos,Critical,Immediate technical review / inspection,P1,Human review required,234
UCI_TEST_07154,0.5557593426379075,pos,Critical,Immediate technical review / inspection,P1,Human review required,235
UCI_TEST_09951,0.5516605137562696,neg,Critical,Immediate technical review / inspection,P1,Human review required,236
UCI_TEST_11781,0.5506743238823076,pos,Critical,Immediate technical review / inspection,P1,Human review required,237
UCI_TEST_03483,0.5485190809179058,pos,Critical,Immediate technical review / inspection,P1,Human review required,238
UCI_TEST_09595,0.5457956251689516,pos,Critical,Immediate technical review / inspection,P1,Human review required,239
UCI_TEST_12167,0.5440399209924394,pos,Critical,Immediate technical review / inspection,P1,Human review required,240
UCI_TEST_08167,0.5439718455139285,pos,Critical,Immediate technical review / inspection,P1,Human review required,241
UCI_TEST_08081,0.542142929407701,pos,Critical,Immediate technical review / inspection,P1,Human review required,242
UCI_TEST_00698,0.5382382813696673,pos,Critical,Immediate technical review / inspection,P1,Human review required,243
UCI_TEST_05170,0.537703225303479,pos,Critical,Immediate technical review / inspection,P1,Human review required,244
UCI_TEST_12380,0.5374715369458463,pos,Critical,Immediate technical review / inspection,P1,Human review required,245
UCI_TEST_05358,0.5372895271606933,neg,Critical,Immediate technical review / inspection,P1,Human review required,246
UCI_TEST_04089,0.5363487425629551,pos,Critical,Immediate technical review / inspection,P1,Human review required,247
UCI_TEST_07640,0.5353009488927761,neg,Critical,Immediate technical review / inspection,P1,Human review required,248
UCI_TEST_00584,0.5317334428683458,pos,Critical,Immediate technical review / inspection,P1,Human review required,249
UCI_TEST_13129,0.5317334428683458,pos,Critical,Immediate technical review / inspection,P1,Human review required,250
UCI_TEST_07953,0.5314722516135699,pos,Critical,Immediate technical review / inspection,P1,Human review required,251
UCI_TEST_05461,0.5309643952004603,pos,Critical,Immediate technical review / inspection,P1,Human review required,252
UCI_TEST_12388,0.5309567097283104,pos,Critical,Immediate technical review / inspection,P1,Human review required,253
UCI_TEST_14642,0.5290417544781364,neg,Critical,Immediate technical review / inspection,P1,Human review required,254
UCI_TEST_14442,0.5266988329098359,neg,Critical,Immediate technical review / inspection,P1,Human review required,255
UCI_TEST_03194,0.524809433560664,pos,Critical,Immediate technical review / inspection,P1,Human review required,256
UCI_TEST_04655,0.5247449978411963,neg,Critical,Immediate technical review / inspection,P1,Human review required,257
UCI_TEST_07506,0.5247034182054265,pos,Critical,Immediate technical review / inspection,P1,Human review required,258
UCI_TEST_14595,0.5240881149389419,pos,Critical,Immediate technical review / inspection,P1,Human review required,259
UCI_TEST_01349,0.5181089013987245,pos,Critical,Immediate technical review / inspection,P1,Human review required,260
UCI_TEST_14500,0.5175661802513141,pos,Critical,Immediate technical review / inspection,P1,Human review required,261
UCI_TEST_04890,0.5171330249868913,pos,Critical,Immediate technical review / inspection,P1,Human review required,262
UCI_TEST_07371,0.5163452290264589,neg,Critical,Immediate technical review / inspection,P1,Human review required,263
UCI_TEST_12889,0.515960738045738,neg,Critical,Immediate technical review / inspection,P1,Human review required,264
UCI_TEST_06739,0.5122154491282396,pos,Critical,Immediate technical review / inspection,P1,Human review required,265
UCI_TEST_04811,0.5101147351679781,neg,Critical,Immediate technical review / inspection,P1,Human review required,266
UCI_TEST_02474,0.5090898619379178,pos,Critical,Immediate technical review / inspection,P1,Human review required,267
UCI_TEST_06924,0.507335318193263,neg,Critical,Immediate technical review / inspection,P1,Human review required,268
UCI_TEST_14359,0.5046623790089815,pos,Critical,Immediate technical review / inspection,P1,Human review required,269
UCI_TEST_01463,0.5045700910386498,pos,Critical,Immediate technical review / inspection,P1,Human review required,270
UCI_TEST_07273,0.5023799069475391,pos,Critical,Immediate technical review / inspection,P1,Human review required,271
UCI_TEST_06687,0.4967814018346448,neg,High,Prioritize technical review and planned inspection,P2,Human review required,272
UCI_TEST_10602,0.4958727226700427,neg,High,Prioritize technical review and planned inspection,P2,Human review required,273
UCI_TEST_06162,0.4922861219105694,pos,High,Prioritize technical review and planned inspection,P2,Human review required,274
UCI_TEST_15202,0.49189784467102177,pos,High,Prioritize technical review and planned inspection,P2,Human review required,275
UCI_TEST_09234,0.49084551343360117,pos,High,Prioritize technical review and planned inspection,P2,Human review required,276
UCI_TEST_05093,0.4902102044842214,pos,High,Prioritize technical review and planned inspection,P2,Human review required,277
UCI_TEST_04683,0.4896414876129787,pos,High,Prioritize technical review and planned inspection,P2,Human review required,278
UCI_TEST_02774,0.4847024065746559,neg,High,Prioritize technical review and planned inspection,P2,Human review required,279
UCI_TEST_13236,0.4835654362438563,pos,High,Prioritize technical review and planned inspection,P2,Human review required,280
UCI_TEST_03218,0.4829023777467271,pos,High,Prioritize technical review and planned inspection,P2,Human review required,281
UCI_TEST_01983,0.4828655342993753,neg,High,Prioritize technical review and planned inspection,P2,Human review required,282
UCI_TEST_13195,0.48271626178247345,pos,High,Prioritize technical review and planned inspection,P2,Human review required,283
