Model_Feature_Index,Feature_Name
232,missingindicator_bf_000
233,missingindicator_bg_000
234,missingindicator_bh_000
235,missingindicator_bi_000
236,missingindicator_bj_000
237,missingindicator_bk_000
238,missingindicator_bl_000
239,missingindicator_bm_000
240,missingindicator_bn_000
241,missingindicator_bo_000
242,missingindicator_bp_000
243,missingindicator_bs_000
244,missingindicator_bt_000
245,missingindicator_bu_000
246,missingindicator_bv_000
247,missingindicator_bx_000
248,missingindicator_by_000
249,missingindicator_bz_000
250,missingindicator_ca_000
251,missingindicator_cb_000
252,missingindicator_cc_000
253,missingindicator_cd_000
254,missingindicator_ce_000
255,missingindicator_cf_000
256,missingindicator_cg_000
257,missingindicator_ch_000
258,missingindicator_ci_000
259,missingindicator_cj_000
260,missingindicator_ck_000
261,missingindicator_cl_000
262,missingindicator_cm_000
263,missingindicator_cn_000
264,missingindicator_cn_001
265,missingindicator_cn_002
266,missingindicator_cn_003
267,missingindicator_cn_004
268,missingindicator_cn_005
269,missingindicator_cn_006
270,missingindicator_cn_007
271,missingindicator_cn_008
272,missingindicator_cn_009
273,missingindicator_co_000
274,missingindicator_cp_000
275,missingindicator_cq_000
276,missingindicator_cr_000
277,missingindicator_cs_000
278,missingindicator_cs_001
279,missingindicator_cs_002
280,missingindicator_cs_003
281,missingindicator_cs_004
282,missingindicator_cs_005
283,missingindicator_cs_006
284,missingindicator_cs_007
285,missingindicator_cs_008
286,missingindicator_cs_009
287,missingindicator_ct_000
288,missingindicator_cu_000
289,missingindicator_cv_000
290,missingindicator_cx_000
291,missingindicator_cy_000
292,missingindicator_cz_000
293,missingindicator_da_000
294,missingindicator_db_000
295,missingindicator_dc_000
296,missingindicator_dd_000
297,missingindicator_de_000
298,missingindicator_df_000
299,missingindicator_dg_000
300,missingindicator_dh_000
301,missingindicator_di_000
302,missingindicator_dj_000
303,missingindicator_dk_000
304,missingindicator_dl_000
305,missingindicator_dm_000
306,missingindicator_dn_000
307,missingindicator_do_000
308,missingindicator_dp_000
309,missingindicator_dq_000
310,missingindicator_dr_000
311,missingindicator_ds_000
312,missingindicator_dt_000
313,missingindicator_du_000
314,missingindicator_dv_000
315,missingindicator_dx_000
316,missingindicator_dy_000
317,missingindicator_dz_000
318,missingindicator_ea_000
319,missingindicator_eb_000
320,missingindicator_ec_00
321,missingindicator_ed_000
322,missingindicator_ee_000
323,missingindicator_ee_001
324,missingindicator_ee_002
325,missingindicator_ee_003
326,missingindicator_ee_004
327,missingindicator_ee_005
328,missingindicator_ee_006
329,missingindicator_ee_007
330,missingindicator_ee_008
331,missingindicator_ee_009
332,missingindicator_ef_000
333,missingindicator_eg_000
